"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2012","238.4631","237.9580","241.8254","237.4783","","-0.33%"
"08/07/2012","239.2590","236.3982","240.9448","235.9640","","1.59%"
"08/06/2012","235.5042","232.5924","235.7852","231.6984","","0.88%"
"08/03/2012","233.4608","225.4915","234.1760","223.7290","","4.90%"
"08/02/2012","222.5541","227.9691","228.8631","222.0943","","-2.00%"
"08/01/2012","227.1007","225.4148","228.5055","224.9040","","0.97%"
"07/31/2012","224.9295","229.8848","230.6000","223.7290","","-1.92%"
"07/30/2012","229.3229","230.4212","230.7022","228.2246","","-0.39%"
"07/27/2012","230.2169","228.7354","230.9832","228.0968","","0.83%"
"07/26/2012","228.3267","227.4327","231.0087","227.3561","","0.47%"
"07/25/2012","227.2539","226.6154","227.7137","221.9666","","0.53%"
"07/24/2012","226.0534","225.2105","227.4327","223.3714","","0.41%"
"07/23/2012","225.1339","227.6882","229.2973","224.6996","","-4.02%"
"07/20/2012","234.5592","234.2782","235.3765","232.2858","","-1.23%"
"07/19/2012","237.4710","233.3076","238.0585","232.5157","","3.11%"
"07/18/2012","230.3191","227.8925","230.7277","227.2795","","0.70%"
"07/17/2012","228.7099","227.3306","229.3229","224.3421","","0.82%"
"07/16/2012","226.8452","222.5030","226.9219","221.7622","","1.50%"
"07/13/2012","223.4991","222.9883","224.6230","220.9193","","1.20%"
"07/12/2012","220.8427","216.9602","221.5323","216.1939","","0.31%"
"07/11/2012","220.1530","217.9819","221.7878","217.3944","","2.24%"
"07/10/2012","215.3255","219.7699","220.4340","214.8912","","-2.40%"
"07/09/2012","220.6128","218.4417","221.7622","216.2195","","1.82%"
"07/06/2012","216.6792","219.9742","220.0764","215.9129","","-3.13%"
"07/05/2012","223.6779","225.8235","228.1735","222.0432","","-0.52%"
"07/03/2012","224.8529","219.2846","225.7469","218.9014","","4.61%"
"07/02/2012","214.9423","214.0739","215.9896","210.7278","","-1.43%"
"06/29/2012","218.0585","205.5937","218.6460","205.5681","","9.31%"
"06/28/2012","199.4889","205.5170","207.4583","198.5694","","-3.11%"
"06/27/2012","205.9002","203.3459","207.3306","203.1926","","1.05%"
"06/26/2012","203.7546","203.5758","204.4698","201.2769","","0.19%"
"06/25/2012","203.3714","202.7073","203.9078","200.3063","","-0.65%"
"06/22/2012","204.6997","201.8389","206.1811","200.3829","","2.01%"
"06/21/2012","200.6639","206.5898","207.8159","200.3063","","-4.01%"
"06/20/2012","209.0419","216.3216","217.2156","208.7865","","-3.35%"
"06/19/2012","216.2961","213.9972","217.2412","213.9206","","0.89%"
"06/18/2012","214.3804","215.6320","216.1684","211.1875","","-0.83%"
"06/15/2012","216.1684","217.1645","217.4710","214.6613","","0.15%"
"06/14/2012","215.8363","213.1543","215.9129","211.8772","","1.57%"
"06/13/2012","212.4902","214.1067","215.8204","211.3546","","-0.84%"
"06/12/2012","214.2807","212.1189","215.2539","211.2635","","0.73%"
"06/11/2012","212.7234","219.1459","219.2229","212.4618","","-1.66%"
"06/08/2012","216.3143","211.8091","216.6379","211.2492","","-0.85%"
